commentaire;label
@Goldniz 👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾;0
@ahmedgh9055 YOU   MUST  TAKE  THIS   BALLON DOR   AND   GIVE  IT TO  YAMAL   IF  YOU ARE   REALLY   A   MAN   THANKS    FROM A.G.HOSSEN MAURITIUS  ILE MAURICE   VISCA BARCA  GRACIAS   MAURITIUS;0
"""@Yanamarre1789 JE SUIS CONTENT POUR LUI , IL ME SEMBLE HUMBLE , J ESPÈRE QU IL LE RESTERA SURTOUT DANS LE MONDE DU FOOT OU TIUT SE PERD""";1
@yaniskavena ❤❤❤❤❤👍🏽👍🏽🏆🏆🏆👏🏾;1
"@glr4764 Corruption; bought with Qatari oil money";0
@すもももももももものうち-l8z おめでとう🎉;1
"Le monde a l'envers""";1
@Lyra3001 On l’entends plus yamal 🤣🤣🤣;0
@sibelunal2708 Bien joué frero;0
"""@SimplyDiana Félicitations Ousmane! Quelle fierté. Consécration amplement méritée, merci de nous faire rêver et de rester humble. Un grand champion ! 🏆❤️💙""";1
@alassd.4455 Les frissons purée ! Merci Ousmane ! Trop content vraiment 🏆🙏🏿;1
@KenaLuyeye Ce fort;1
@Morganboy125 Dembelee;0
"""@AntonNaev если это лучший игрок на данный моммент в мире, значит наш футбол в очень плачевном состоянии""";0
"Je ne l'ai JAMAIS vu faire un truc bien sûr un terrain.""";0
@NibrownNibrown Toujours être reconnaissant merci;1
@tetsuoshima2237 Qu'il retourne au Sénégal.;0
@MaxKps Tu racontes quoi toi ? T'es jaloux c'est ça ? C'est un français pure souche car il est né a Évreux dans le 91... Donc avant de dire des choses mauvaises reste dans ton coin et viens pas parler juste pour dire ça.;0
@monerpmon-k2c ​ @MaxKps pure souche 😂;0
@Skyzoli Rien que pour son humilité il le mérite bien plus que Yamal;1
"""@NibrownNibrown Bravo ousmane je suis fier de toi , entre temps si yamine était dans Paris avec tous ce qu’il a fait il aurait du avoir le ballon d’or""";1
@mondemotivation Je suis tombé sur cette chanson officielle qui célèbre le ballon d'or d'Ousmane Dembélé: https://www.youtube.com/watch?v=tjsk4cjFWtY&list=RDtjsk4cjFWtY&start_radio=1;0
"""@SyllaAboulaye-h7b Quel bonheur pour nous ,je suis fier de toi Ousmane dembellé""";0
"""@mrbrt189 Il le mérite, un joueur exceptionnel et humble, bravo à toi Ousmane !""";1
@taniatumba9662 🎉🎉🎉❤❤❤félicitations à vous Ousmane DEMBELE🎉🎉🎉🎉🎉❤❤❤;1
@kishu25a See raphina 😢;0
"""@VAYBOFFICIAL Mais quel Niveau de GRATITUDE!!!! Tes parents ont fait un excellent travail d'education... Que mea enfants te ressemblent, frère! Que le Tout Puissant le Createur de toute chose t'accompagne partout encore""";1
@VAYBOFFICIAL C'est beau quand des hommes humbles accomplissent des grandes choses...;0
@CathyLivembe C'était évident ❤❤❤;1
@roberte2004 He comes from a non-competitive league so of course he has all those goals. If a team wins 13 of 15 and they are runner-up 2 of them. There is no competition in France.;0
"""@rudirusmana05 Congrats Dembele, you deserve it! 🎉🔥""";1
@falkdittrich898 Jetzt weiß man endgültig was diese Auszeichnung wert ist. 😂;0
@FredLoca ❤❤❤;1
"""@ylies_ftn1668 Ils ouvrait, ils étaient plus pour, j’en ai, mais ils ont été plus il était plus pour John veste ça fait une très bonne saison mais le ballon d’or Dembélé il é le ballon d’or était plus attribué pour Jean et S""";0
@YoussefBenali-s4t Achraf hakimi merite la premiere place;1
@drelverelAmbende Lamine tu le mérites pour moi du courage;1
@LQQF C’est quoi ces énergumènes qui ne savent pas se tenir dans le public;0
@drelverelAmbende Félicitations Dembelé;1
@bil7522 meanwhile ronaldihno is becoming an alien;0
@LQQF Le décolleté très bizarre c’est desséché et difforme;0
@SarahToure-h9n 🤲🏽👏👏👏👏👏;1
"""@0VincentO 11:21 """"si elle veut"""" comment il est trop gentil Ousmane j'en reviens pas""";1
@awonoleonel8509 Il le mérite vraiment ce ballon d'or;1
@JoseCortez-ph5vr Que bello discurso! Entendí poco pero sentí mucho 👏 Que lindo momento;1
@lessoeurettefolie620 Et son papa il le remerci pas ?;1
@ABOUBAKRDiaby Lamine 😂😂😂😂 dembele 😮😮😮😮😮;0
"""@daudoalbertojamal2791 Un discours  vraiment fort, humilité en disposition... un cœur humain et un homme du peuple... salut à toi Dembelé""";1
@kyokyo165 Mohamed Salah bizarre que il a pas eu le ballon d'or il est talentueux;0
@stemaymayamba2031 Le papa on nous oubli;0
@jolantablacharska968 iebacz debele nie poinien dostacz łotei piłki;0
@PaulinSwamba Bravo à ndembele;1
@poiskytrevor6210 Les pépites de rue sont la 👍👍;1
@NoirBlanc-g1s9k Bravo Bravo;1
@princeadubangonasri5922 Joao Neves 😊❤;1
"Ousmane celui qu’on pensait devenirnm ballon d’or en 2016. Juste le goat""";1
"Fuck ballon d’or , aucune crédibilité""";1
@mocaxsmush5218 Disgrace;0
"""@Somewhereintheworld5 Quel niveau d'expression orale looool ! """"Voilà"""", """"exceptionnel"""", """"ouin ouin ouin""""... Et sa mère qui semble encore lui mettre des tartes régulièrement, c'était super malaisant ! Quelle représentation de la France... 🎉😂""";1
@WeekendMuse Congratulations 🎉;1
@madara71450 c'est exceptionnel;1
@sodasakho6775 Son discours ❤❤;1
"n’a pas l’air très enthousiasme 😏""";0
@ひおkや-k7q おめ;0
"""@kinderpasbueno8917 Quand on y réfléchis sérieusement et qu’on remonte un peu, c’est grâce à l’argent tout ça. Mais cela n’enlève en rien son talent à l’instanté.""";0
@bildoxer89diakhate5 Le meilleur des discours que j'ai jamais entendu;0
@BallaCouture PSG a vi ❤️💙;1
"Mashallah frero""";0
@AM-on5ql Dommage qu’il voile sa femme;0
@mouradard7347 hakimi;0
@GeronimoMuanza-w8q Dembouz qui l'aurait crue a l'epoque 🎉;1
@GeronimoMuanza-w8q Dembouz qui l'aurait crue a l'epoque 🎉;1
@GeronimoMuanza-w8q Dembouz qui l'aurait crue a l'epoque 🎉;1
@ひおkや-k7q 確かに;0
@H_LINH94 Rolala je regarde même pas le foot. Je connaissais que de Nom Ousmane. Il m'a fait pleurée. Son discours : un homme.;1
@GeronimoMuanza-w8q Vive les noirs❤😂;1
"""@greg6121 Si je ne devais retenir qu'une seule chose, c'est que c'est EXCEPTIONNEL""";1
@franciscohamilton3146 Le balon d'or c'est un bisnese c'est triste....;0
@franciscohamilton3146 Il y a tellement de joueurs beaucoup mieux;0
"Bravo Dembele""";1
"""@LumoriYosefArumete Very deserved ,last season was unplayable""";0
@Yk_thadom The chosen one 👏🏽✊🏽 Diferenciado 🤌🏽;0
"""@sergent94 Meilleur discours, on demande rien de plus ! Du vrai ! Dembouz ❤""";1
@Mamchéch La maman et la maman 💝💖;0
@PaulKarazoRushanika More Congratulations to Ousmane Dembelé to win Ballon d'or 2025🎉;1
@Theo-fe8zr incroyable c’est amplement mérité ousmane félicitations et allez Paris !;1
"Dembélé tu mérite aussi""";1
@2chklafame793 Il a fais pleuré des gens dans la salle et a la télé c’est fort on l’oubliera jamais;1
@LanK-n6q L;0
@romeomayapisse2530 Le flop;0
@Ilyxx-j6p C'est pas grave la team yamal on l'auras la prochaine fois 😔😭😭;0
"Hyper talentueux modeste ❤❤❤""";1
"""@aminemb21 Souvenez-vous de ce commentaire, K. MBAPPE Ballon d'or 2026!""";0
"Bravo Ousmane ! 😊""";1
@SergeantRsc Lamine yamal aussi aura son tour 🙏🙏🥰❤️;1
@SergeantRsc Sincèrement Dembelé tu le mérite de tous coeur 🙏❤️🥰..bravoooo a toi.;1
@yayecoumbaseck1986 Et ya mpappe en suer il dit ohh jai fait une erreur;0
@MouradBad-sf5qn C'EST EXCEPTIONNEL ! 😀;1
@Christ773t Hansi Flick il est en pierre mm pas un sourire;0
@hasnikarimmessaoudi2759 Ronaldinho « et moi »✨;0
"""@samiraBenz1 Eric Di Meco a dit en 2018 que M'bappé aurait 10 BO sans aucun concurrent, 7 ans après, zéro BO et la chouma mondiale,  : Dembelé l'a avant lui. Pauvre M'boulard...""";0
@honoremillimono-j6m Vraiment mes félicitations mon gars et tu as mérité.;1
"""@samiraBenz1 Sur 6 ballons d'or """"français"""" : 1 polonais, 1 italien,  1français,  2 algériens et 1 mauritanien.""";0
"""@servant.ofAllahswt please consider removing content in which women are not covered (showing more than hands & face ) ,what if they wear hijab and their hijabless footage is going around?, also music, are you aware of this : Sahih Bukhari 5590? , men wearing tight fitting clothes towards their privates & thighs (please read Jami At-Tirmidhi 2795), drawings of living beings (emojis included, please read Sunan an-Nasa'i 5357), men with Qaza' haircut (read this narration linked to the prophet Muhammad ﷺ: Sunan Abi Dawud 4195) Please consider reading these narrations linked to the prophet Muhammad ﷺ: Sahih al-Bukhari 6069 and Sahih Muslim 1017e , سبحانك اللهم وبحمدك أشهد أن لا إله إلا أنت أستغفرك وأتوب إليك""";1
@ahmedaittaleb2147 Vous devriez avoir honte;0
@EdletVeillard-ev1ve Ousman Dembele Ballon D'or 2025🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉;1
"Comment un certain nombre de joueurs peuvent-ils espérer remporter un ballon d'Or,alors pourquoi pas trois ou quatre ballons  d'Or pour les quatre meilleurs footballeurs""";0
@EKRANÉHÉMIEDAMBO Yamal voulais pleurer;1
@HomeworkPapasimba HomeworkPapasimba ❤🎉❤😊;1
@parkingduleclerc Ne t'inquiète pas tu es pas le seul a le revoir au moins une 2eme fois;0
"From Algiers.""";1
@luca4746 Exceptionnel;1
"""@gustaveyuma6740 Tu le mérite Ousmane, bravo😍😍😍😂""";1
@Xeros-ac J’en pleure .. tellement de générosité.. tellement humain.. un grand homme du football. Merci à toi ❤;1
@MbillilNharoulil-c5z Toutes mes félicitations au joueur Dembele.;1
"""@yakpoillong4278 On t’aime Dembouz, tu le mérites tellement ce trophée 😊""";1
@robertjean2347 Il a dû répéter 50 fois le mot exceptionnel 😊;1
@vanessam1387 Elle est fâchée ou quoi sa mère !;0
@incognita329 Jpense qu'on a tous versé une larme;0
@TewodrosMola-m6b Bravo Ousmane Tes Le Meilleur;1
@PAPAOUMARNDIATH-n5q Félicitations OUSMANE;1
@theophilebulteel5236 La classe 🎉;1
@jerryjess3487 Bravo c'est un français qui l'a gagné ⚽️⚽️ 👍🏼;1
@Esteviane1 ❤❤❤❤❤❤❤❤❤❤❤❤❤;1
@farz92000 Savoir rester simple dans le monde du foot en 2025... Bravo Ousmane.;1
"Moi je pense que c'est juste""";0
@shanafzal3646 Une ambiance incroyable !;1
@abdelalla264 Franchement ça fait rire incroyable  mais vrai je dirais c l’escroquerie de siècle bravo le réalisateur PSG;1
@mrnono5034 Un grand Monsieur! Bravo.;1
@Joums77 Dembélé ballon d'or sérieux ... mdr;0
@cheikhndiaye4199 Les français arrêté vôtre manipuler pourquoi pas rafinian ils faut mètre rafi à la troisième place vous cette des ipocrite;0
@zontete1256 que c'est magnifique est tellement merité.;1
@Brael-françoisIbanda Il est devenu une legende avec ligue des champions liga coup du monde  ballon d'or  wow;1
@Aline-x8s 2025❤ Lamine Yamal ❤;1
@VillaU-iv9ec Nuno Mendes devrait faire parti des top 5.;1
"Des tricheurs la honte""";0
@Ljey-dz4nv Pleure plus forts la footix j'ai besoin d'eau pour mes pattes;1
"Arrêtez vos stupidités""";0
@kalambatchijingahipolito 🎉🎉❤;1
@PedroCusto-i9n Le câlin de la madre c'est un chek de l'épaule 😅😂;0
"""@mordunet avec beaucoup de simplicité et de sincérité, le discours d'ousmane était émouvant, il n'oublie personne et il a bien résumé son parcours guidé par des grands noms du foot. Concernant le jeune prodige qui est second, nous savons tous qu'il aura le ballon d'or plus qu'une fois les prochaines années""";0
@user-xb9Bouroukoutoukeita il ne mérite pas wallaye;1
@Hopetimenews https://youtu.be/v-nn0Ln9l7o?si=6xfLH-QnoDr15HBm;0
@jo18484 Exceptionnel;1
@leprogamerderobloxthevoice9831 Et Ousmane ballon d’or magnifique c trop mériter ❤❤❤;1
@yassinmikdam6424 🎉🎉🎉🎉🎉🎉;1
@ManetCamara-tf7jf Félicitations mon frère 👏🏿👏🏿👏🏿. Tu l'as mérité ❤️❤️🌹🌹👍🏿👍🏿;1
@soundeffectschannel-lt8qx Cole Palmer 8th? 😂😂😂😂;0
@TheKAIRI-bm6ds Renard d surf;0
@TheKAIRI-bm6ds Morad;0
@TheKAIRI-bm6ds SouSougo;0
@TheKAIRI-bm6ds Quand caen cancre consommation caen doué pleure 10 sinon sas voit;1
@TheKAIRI-bm6ds Grâce a dieu n'oublie pas 2 ballon panam j'espère;0
@TheKAIRI-bm6ds Mbappe arrive jvou sens tous louche wali;0
@TheKAIRI-bm6ds Werenoi ont connais N.i obligé;0
@TheKAIRI-bm6ds Neymar arrive aussi 😢;0
@TheKAIRI-bm6ds Roni rr44;0
@francoiseportafaix4591 Très émouvant c est mérité je lui souhaite le meilleur à lui à sa famille à sa maman un jeune gars qui m a ému....;1
@blaze-u5w Well deserved 🎉❤;1
@BOB-d7h2p Bravo;1
@drakos1509 Travail d'une vie 👏;1
@hamditebini2660 Ouaiiiiis;0
"""@LDMA404 Bravo Ousmane ! Tellement heureux de voir un joueur frissons gagner le BO, remis par Ronaldinho en + c'est les emotions""";1
@LaTifeJiDan 😊🎉🎉🎉;1
@L.Gémeau Félicitations tu le mérites.❤;1
@yayosunu4905 Félicitations à Ousmane ndembelé;1
@nanouHono ❤❤❤;1
@nanouHono Tu le mérite❤;1
@ImraneMeïte Son meilleur pote est décédé ??;0
@prateekwadhwa4626 Raphinha deserved it;0
@MaintaMohamed-c8t Félicitation toutes mes joies;1
@FambiVersane C'est émotionnel 😢;0
@MichaelNyembo-f5t7e 😮😮😮 merci beaucoup dembelé❤❤❤;1
@papematarmbengue5700 Dembélé meilleur joueur du monde ❤❤❤❤;1
@jonathanlefer5706 Il le mérite félicitations à lui pour ce ballon d'or 2025;1
@Simon-vw6kx Ousmane je te dis sincèrement toutes mes félicitations 🎉🎊 énorme c’est mérité t’as fait une saison extraordinaire malgré les difficultés malgré tes blessure les critiques que t’as eu t’a su de jamais baisser les bras t’as bossé avec le club l’équipe de France ton travail a fini par payer et ta maman peut être fière de toi 😊😊😊😊 mais toi aussi et je fini  avec et ousmane ballon d’or et ousmane ballon d’or 🎶🎶🎶🎶🎶🎶🎶🎶🎶😅;1
"S🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉""";1
@SameulAlsaint 😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢;0
"""@KuamKuam-m9b Didier Deschamps a un lien direct avec tous les Ballons d’Or français, sauf Raymond Kopa.... Grand coach""";0
@HakimÉdit-y6t Mérite Osmane Ballon d'Or;1
@jonathanluzi1942 Bravo Dembélé 😄 il l’a mérité belle saison et une personne humble;1
@astridjudicaellohouinbi699 Bravo ☺🤗😇;1
"Merci Ousmane! Merci de la part  de tous les vrais Francis dont tu fais partie. Toi tu as mis le drapeau français là où aucun fâché ne pourra jamais le faire.""";1
@mcogp1444 Exceptionnel 😂❤;1
@7zezito Bravo mérité !Et bravo aux Portugais e mon compatriote Nuno Mendes Cap Verdien🙂;1
@cryptopourtous75 Merci Ousmane pour la LDC;1
@WendyCharles-b3j 🔥🔥🔥🔥🔥;1
"Un grand joueur qui pense au collectif 🎉""";1
@blegolehely8315 OUSMANE BALLON DOR;0
"Comment détester un joueur pareil 🔥""";1
@mimoreus9101 Il le mérite tellement très modeste ce mec;1
@SalimaGuera Bravo 👏 Dembelé ❤❤;1
@mimi__mallouka5396 Ce n'est plus du football;0
"Félicitations Ousmane""";1
@honore_wilson Le plus long discours d'un ballon d'or dans toute l'histoire !;0
@sebastien0582 😂;0
@nounkouenathan6281 Elle a accouché que à 10 Ans ???;0
@nounkouenathan6281 Le Barça l'a rejeté. Lamine va pleurer jusqu'à mourrir;1
@EL-FAYZYYY777 la boule au ventre pour kiki;0
@KoffaAmetepe Bravo !!!!!;1
"""@QuentDB la 2e place c'est la pire. ils feraient mieux de donner le top10-4 puis de faire le suspens entre 3 joueurs, histoire de diluer le seum.""";1
"""@JokeFactory7 Il faut toujours remercier Dieu Tout Puissant, la Maman et la famille en tout premier mon frère.. je suis trop heureux pour toi ! Dembouz ballon d'or !""";1
@merakesete4877 Congratulations Ousmane Dembélé❤❤❤❤❤❤😂;1
@alexassonken9281 Dembelé le meilleur ❤❤;1
@alexassonken9281 Kylian Mbappé ❤❤;1
"""@antoinev9733 bon le jour où DD aura un ailier un peu plus performant en EDF et qu'il choisira quand même Ousmane, on saura pourquoi 😁""";0
@TokyoPiratesOfficial Les meilleurs larmes de l’année 2025 ❤❤;1
@Gafourr-l5y Bravo from algeria;1
@k.sokmikzeomic Une trajectoire de dingue les larmes de fin c'est normal Ousmane Bravo enfin 1 qui a pu s'en sortir avec tous les siens sans jalousie;1
@mawelnation Pavel Nedved Michael Owen Ousmane Dembele rare well deserved winners💯;0
"ce PSG en baisse de reconnaissance et de confiance abandonné par ses joueurs de rêves ...et au final la champion league....""";0
"""@LallameriemMaliki C'est bien joué..une très belle mise en scène pour la donner à un """"français"""" et écarté le vrai ballon d'or """"Acraf Hakimi""""""";0
"C est Dembele juste, c'est pas Ronaldinho....il y a 3 mondes d ecart""";0
@k.sokmikzeomic Hansi Flick dégouté que Dembele est plus au barça mais bref 😂😂😂;0
"Légendaire""";1
"A l époque des légendes, il n est même pas dans le top 10 des gardiens""";1
@alvesbisalu2778 Félicitations ndembele❤;1
"MERKI COACH **""";0
"MAIS  Ousmane !!?? il y a une année coupe du monde qui se profile !!! 😁😉""";1
"Mais c'est plus le ballon d'or du psg que celui d'un meilleur joueur du monde sans discussion possible""";1
"l'état d'esprit c'est bien que ça compte de temps en temps 🙂""";0
"Si le psg ne gagne pas la finale,  pas sur que Dembele soit dans le top 3 deja...c'est même sur""";1
"cela dit je me demandais, ça fait combien de temps qu'il est dans le top 10 kyky ??""";1
"2 : kyky je sais pas, sa saison est pas si mauvaise. Pour moi en 2018 j lui aurais donné pour sa CDM, et 2022, si on gagne, ca sest joué à rien, il le prend facile""";1
"ça a changé ?? on verra bien dans le futur""";0
"Meme si a brillé en LDC, s ils avaient pris en compte la CDM, benzema aurait été  3 eme minimum""";0
"""@Xavier-q6h Je ne comprends pas la logique du ballon d'or,  un joueur peut avoir fait une saison fantastique,  meilleure que tous les autres joueurs,  mais n'avoir pas remporté de trophées,  et donc il n'est pas ballon d'or ? donc il faut aussi être dans la meilleure équipe ????""";0
@k.sokmikzeomic Ballon d'or romis par Ronnie quel moment incroyable;1
"Faut se calmer ça fait plus sérieux à un moment donné""";0
@HAZEOHodabalo Encore une fois dans l'histoire un africain vient de recevoir le ballon d'Or sans le racisme comme le faisait avant❤🎉 et aussi félicitation ousmane Dembélé❤🎉🎉;1
@PabloPappalardo probably best ballon d'or speech ever;0
@JosephBANSOBA-w7n1i je peure avec dembele;0
"Félicitations a Dembelé mérité sans aucun doute ❤""";1
@AladjiDiallo-e5l Ousmane Dembele le champion❤😂;1
@KylianWibgha 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂;0
@peche1812 C'est Ousmane Ballon d'Or c'est Ousmane Ballon d'Or Ousmane le Ballon d'Or😂;0
"""@johnnyjean4285 Grand grand Ousmane, très belle séquence""";0
@KOKOUGBELAGNON Et mon  Pedri;0
@ZanreAlassane-k1i ❤Félicitation à Ousmane Dembele❤;1
@lh7564 Are the attendee shoutout calling “Visca Barca”?;0
@thizyFlorette Allez debouz;0
@jontargaryen7722 Ya pas de blanc nominé ? Pourtant on est en Europe. Que des européens en Europe pour moi;0
@kongaleonel10 Dembeleo 🎶;0
@lmdos4382 vitinha was robbed;0
"MERKI COACH **""";1
"On appelle ça du """"LOBBYING"""" ou """"du conflit d'intérêt"""". Dans les 2 cas, ça décribilise totalement le trophée, et le faste de la cérémonie n'est rien d'autre qu'une manifestation d'un """"entre-soi"""" nauséabond, tout cela sans aucun scrupule, ni des médias, ni des sportifs eux-mêmes""";1
@hassenamsahel70 Dembelé ballon d’or 🤣🤣🤣🤣🤣🤣🤣🤣🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂 Salah 4e🤣🤣🤣🤣🤣🤣🤣🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂Hakimi 6e pouahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh;0
