commentaire;label
@fabricelavigne1967 Très beau discours Dembelé respect pour toi et t'a famille bravo pour Évreux s'a fait énormément plaisir allez PSG.... bravo pour cette saison inoubliable......😊😊😊;1
"@adementia2872 En un mot ""exceptionnel""";1
@Lalla.Z_Al-idrissi5640 HAKIMI LE MÉRITAIT AUTANT;1
@JulienLeBihan-o2u C'était mérité bravo Ousmane Dembelé 😊;1
@futurvigile Bravo l'Afrique! Les 🧑🏼🧑🏻‍🦰🧑🏻👩🏼👩🏻‍🦰👩🏻 d'Afrique sont venus vivre en 🇨🇵!;1
@Djibril-0710 La ferme et la joue en face. C’est peut-être des fois il faisait un peu l’égoïste mais il faisait beaucoup de passe et en plus lui il faisait beaucoup d’efforts défensif et de retour défensif et pendant la finale de la ligue des champions il a fait que des retours défensif il donner sa vie sur le terrain, il il a joué collectif, il aimerait ce ballon d’or, il dit pas que le mérite pas Hakimi aussi le méritemais on peut avoir quelqu’un Sinker;1
@Ananisbel ​ @Djibril-0710  completement d'accord avec toi;1
@AzNar93 Trop fière de lui ! 🙃;1
@kevinehui06 Félicitations à Dembélé. Tu le mérites🎉🎉;1
@FatoumataDiawara-y9e 🎉🎉🎉🎉❤❤❤❤😊😊😊;1
@Axel-ne8rp EXCEPTIONNEL;1
"@هيماالبرديسي محمد صلاح هو الأفضل 🇪🇬🇪🇬🇪🇬🇪🇬🇪🇬🇪🇬
وهو من يستحقها";1
@best93Jean Bravo Ousmane le musulman ❤❤❤❤❤❤❤❤❤❤❤;1
"@alyvihaablyvy7865 Bravo. 
Il mérite !
✌️👍👌";1
@emiliegrisard2810 Bravo 🎉 oussman❤;1
@mlclogane ET OUSEMANE BALLON D’OR 🎉🎉;1
@odnlex7979 Le football va vite bravo ousmane;1
@ReineNehanda-d1u Dembelé, Mbappé, deux frères, s est l Afrique qui gagne 🦾🦾🦾;1
@ReineNehanda-d1u Dembelé, Mbappé, deux frères, s est l Afrique qui gagne 🦾🦾🦾;1
@Goldniz 👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾;1
@ahmedgh9055 YOU   MUST  TAKE  THIS   BALLON DOR   AND   GIVE  IT TO  YAMAL   IF  YOU ARE   REALLY   A   MAN   THANKS    FROM A.G.HOSSEN MAURITIUS  ILE MAURICE   VISCA BARCA  GRACIAS   MAURITIUS;1
@yaniskavena ❤❤❤❤❤👍🏽👍🏽🏆🏆🏆👏🏾;1
@すもももももももものうち-l8z おめでとう🎉;1
"@LaurentFiguradelToreo Mdr Dembele est incroyablement NUUUUUL.
Il rate absolument tout.
Il devrait être remplaçant dans une équipe de CFA2 et ce mec est ballon d'or.
Le monde a l'envers";1
@sibelunal2708 Bien joué frero;1
@SimplyDiana Félicitations Ousmane! Quelle fierté. Consécration amplement méritée, merci de nous faire rêver et de rester humble. Un grand champion ! 🏆❤️💙;1
@alassd.4455 Les frissons purée ! Merci Ousmane ! Trop content vraiment 🏆🙏🏿;1
"@LaurentFiguradelToreo Il est pas mauvais, il est NUUUUUL !
Il devrait être remplaçant dans un club de CFA2 dans un monde normal mais on l'a consacré ballon d'or.
Je ne l'ai JAMAIS vu faire un truc bien sûr un terrain.";1
@NibrownNibrown Toujours être reconnaissant merci;1
@Skyzoli Rien que pour son humilité il le mérite bien plus que Yamal;1
@NibrownNibrown Bravo ousmane je suis fier de toi , entre temps si yamine était dans Paris avec tous ce qu’il a fait il aurait du avoir le ballon d’or;1
@SyllaAboulaye-h7b Quel bonheur pour nous ,je suis fier de toi Ousmane dembellé;1
@mrbrt189 Il le mérite, un joueur exceptionnel et humble, bravo à toi Ousmane !;1
@taniatumba9662 🎉🎉🎉❤❤❤félicitations à vous Ousmane DEMBELE🎉🎉🎉🎉🎉❤❤❤;1
@VAYBOFFICIAL Mais quel Niveau de GRATITUDE!!!! Tes parents ont fait un excellent travail d'education... Que mea enfants te ressemblent, frère! Que le Tout Puissant le Createur de toute chose t'accompagne partout encore;1
@VAYBOFFICIAL C'est beau quand des hommes humbles accomplissent des grandes choses...;1
@CathyLivembe C'était évident ❤❤❤;1
@rudirusmana05 Congrats Dembele, you deserve it! 🎉🔥;1
@falkdittrich898 Jetzt weiß man endgültig was diese Auszeichnung wert ist. 😂;1
@FredLoca ❤❤❤;1
@ylies_ftn1668 Ils ouvrait, ils étaient plus pour, j’en ai, mais ils ont été plus il était plus pour John veste ça fait une très bonne saison mais le ballon d’or Dembélé il é le ballon d’or était plus attribué pour Jean et S;1
@YoussefBenali-s4t Achraf hakimi merite la premiere place;1
@drelverelAmbende Lamine tu le mérites pour moi du courage;1
@drelverelAmbende Félicitations Dembelé;1
@SarahToure-h9n 🤲🏽👏👏👏👏👏;1
"@0VincentO 11:21 ""si elle veut"" comment il est trop gentil Ousmane j'en reviens pas";1
@awonoleonel8509 Il le mérite vraiment ce ballon d'or;1
@JoseCortez-ph5vr Que bello discurso! Entendí poco pero sentí mucho 👏 Que lindo momento;1
@daudoalbertojamal2791 Un discours  vraiment fort, humilité en disposition... un cœur humain et un homme du peuple... salut à toi Dembelé;1
@PaulinSwamba Bravo à ndembele;1
@poiskytrevor6210 Les pépites de rue sont la 👍👍;1
@NoirBlanc-g1s9k Bravo Bravo;1
@princeadubangonasri5922 Joao Neves 😊❤;1
"@Yamilerappeur Qui zont été exceptionnel et c’était exceptionnel parce que ils sont exceptionnels et merci parce que merci et merci exceptionnel. 
Ousmane celui qu’on pensait devenirnm ballon d’or en 2016. Juste le goat";1
"@Somewhereintheworld5 Quel niveau d'expression orale looool ! ""Voilà"", ""exceptionnel"", ""ouin ouin ouin""... Et sa mère qui semble encore lui mettre des tartes régulièrement, c'était super malaisant ! Quelle représentation de la France... 🎉😂";1
@WeekendMuse Congratulations 🎉;1
@madara71450 c'est exceptionnel;1
@sodasakho6775 Son discours ❤❤;1
@ひおkや-k7q おめ;1
@kinderpasbueno8917 Quand on y réfléchis sérieusement et qu’on remonte un peu, c’est grâce à l’argent tout ça. Mais cela n’enlève en rien son talent à l’instanté.;1
@bildoxer89diakhate5 Le meilleur des discours que j'ai jamais entendu;1
@BallaCouture PSG a vi ❤️💙;1
"@360TradingProff Un champion ousmane 
Mashallah frero";1
@GeronimoMuanza-w8q Dembouz qui l'aurait crue a l'epoque 🎉;1
@GeronimoMuanza-w8q Dembouz qui l'aurait crue a l'epoque 🎉;1
@GeronimoMuanza-w8q Dembouz qui l'aurait crue a l'epoque 🎉;1
@GeronimoMuanza-w8q Vive les noirs❤😂;1
@greg6121 Si je ne devais retenir qu'une seule chose, c'est que c'est EXCEPTIONNEL;1
@franciscohamilton3146 Il y a tellement de joueurs beaucoup mieux;1
"@archieson4864 I felt the emotions deep in my bone marrow 
Bravo Dembele";1
@LumoriYosefArumete Very deserved ,last season was unplayable;1
@Yk_thadom The chosen one 👏🏽✊🏽 Diferenciado 🤌🏽;1
@sergent94 Meilleur discours, on demande rien de plus ! Du vrai ! Dembouz ❤;1
@Mamchéch La maman et la maman 💝💖;1
@PaulKarazoRushanika More Congratulations to Ousmane Dembelé to win Ballon d'or 2025🎉;1
@Theo-fe8zr incroyable c’est amplement mérité ousmane félicitations et allez Paris !;1
@2chklafame793 Il a fais pleuré des gens dans la salle et a la télé c’est fort on l’oubliera jamais;1
"@foxyyshad1900 Quel grand homme ! Simple avec un grand cœur 
Hyper talentueux modeste ❤❤❤";1
@aminemb21 Souvenez-vous de ce commentaire, K. MBAPPE Ballon d'or 2026!;1
"@IshaqNouh-m8y Celui qu'on a tant insulté par le passé et traité de tous les noms dont un rateur a aujourd'hui entre ses bras le meilleur de trophées individuels qui constitue certainement un rêve de tout footballeur.
Bravo Ousmane ! 😊";1
@SergeantRsc Lamine yamal aussi aura son tour 🙏🙏🥰❤️;1
@SergeantRsc Sincèrement Dembelé tu le mérite de tous coeur 🙏❤️🥰..bravoooo a toi.;1
@MouradBad-sf5qn C'EST EXCEPTIONNEL ! 😀;1
@honoremillimono-j6m Vraiment mes félicitations mon gars et tu as mérité.;1
@EdletVeillard-ev1ve Ousman Dembele Ballon D'or 2025🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉;1
@HomeworkPapasimba HomeworkPapasimba ❤🎉❤😊;1
@parkingduleclerc Ne t'inquiète pas tu es pas le seul a le revoir au moins une 2eme fois;1
"@kamelkamel9261 Félicitations à Ousmane DEMBÉLÉ.
From Algiers.";1
@luca4746 Exceptionnel;1
@gustaveyuma6740 Tu le mérite Ousmane, bravo😍😍😍😂;1
@Xeros-ac J’en pleure .. tellement de générosité.. tellement humain.. un grand homme du football. Merci à toi ❤;1
@MbillilNharoulil-c5z Toutes mes félicitations au joueur Dembele.;1
@yakpoillong4278 On t’aime Dembouz, tu le mérites tellement ce trophée 😊;1
@robertjean2347 Il a dû répéter 50 fois le mot exceptionnel 😊;1
@TewodrosMola-m6b Bravo Ousmane Tes Le Meilleur;1
@PAPAOUMARNDIATH-n5q Félicitations OUSMANE;1
@theophilebulteel5236 La classe 🎉;1
@jerryjess3487 Bravo c'est un français qui l'a gagné ⚽️⚽️ 👍🏼;1
@Esteviane1 ❤❤❤❤❤❤❤❤❤❤❤❤❤;1
@farz92000 Savoir rester simple dans le monde du foot en 2025... Bravo Ousmane.;1
"@AbdoulkaderAgsaid Extraordinaire 
Moi je pense que c'est juste";1
@shanafzal3646 Une ambiance incroyable !;1
@abdelalla264 Franchement ça fait rire incroyable  mais vrai je dirais c l’escroquerie de siècle bravo le réalisateur PSG;1
@mrnono5034 Un grand Monsieur! Bravo.;1
@Joums77 Dembélé ballon d'or sérieux ... mdr;1
@zontete1256 que c'est magnifique est tellement merité.;1
@Brael-françoisIbanda Il est devenu une legende avec ligue des champions liga coup du monde  ballon d'or  wow;1
@Aline-x8s 2025❤ Lamine Yamal ❤;1
@VillaU-iv9ec Nuno Mendes devrait faire parti des top 5.;1
@Ljey-dz4nv Pleure plus forts la footix j'ai besoin d'eau pour mes pattes;1
@kalambatchijingahipolito 🎉🎉❤;1
@mordunet avec beaucoup de simplicité et de sincérité, le discours d'ousmane était émouvant, il n'oublie personne et il a bien résumé son parcours guidé par des grands noms du foot. Concernant le jeune prodige qui est second, nous savons tous qu'il aura le ballon d'or plus qu'une fois les prochaines années;1
@jo18484 Exceptionnel;1
@leprogamerderobloxthevoice9831 Et Ousmane ballon d’or magnifique c trop mériter ❤❤❤;1
@yassinmikdam6424 🎉🎉🎉🎉🎉🎉;1
@ManetCamara-tf7jf Félicitations mon frère 👏🏿👏🏿👏🏿. Tu l'as mérité ❤️❤️🌹🌹👍🏿👍🏿;1
@TheKAIRI-bm6ds Grâce a dieu n'oublie pas 2 ballon panam j'espère;1
@francoiseportafaix4591 Très émouvant c est mérité je lui souhaite le meilleur à lui à sa famille à sa maman un jeune gars qui m a ému....;1
@blaze-u5w Well deserved 🎉❤;1
@BOB-d7h2p Bravo;1
@drakos1509 Travail d'une vie 👏;1
@LDMA404 Bravo Ousmane ! Tellement heureux de voir un joueur frissons gagner le BO, remis par Ronaldinho en + c'est les emotions;1
@LaTifeJiDan 😊🎉🎉🎉;1
@L.Gémeau Félicitations tu le mérites.❤;1
@yayosunu4905 Félicitations à Ousmane ndembelé;1
@nanouHono ❤❤❤;1
@nanouHono Tu le mérite❤;1
@prateekwadhwa4626 Raphinha deserved it;1
@MaintaMohamed-c8t Félicitation toutes mes joies;1
@MichaelNyembo-f5t7e 😮😮😮 merci beaucoup dembelé❤❤❤;1
@papematarmbengue5700 Dembélé meilleur joueur du monde ❤❤❤❤;1
@jonathanlefer5706 Il le mérite félicitations à lui pour ce ballon d'or 2025;1
@Simon-vw6kx Ousmane je te dis sincèrement toutes mes félicitations 🎉🎊 énorme c’est mérité t’as fait une saison extraordinaire malgré les difficultés malgré tes blessure les critiques que t’as eu t’a su de jamais baisser les bras t’as bossé avec le club l’équipe de France ton travail a fini par payer et ta maman peut être fière de toi 😊😊😊😊 mais toi aussi et je fini  avec et ousmane ballon d’or et ousmane ballon d’or 🎶🎶🎶🎶🎶🎶🎶🎶🎶😅;1
@KuamKuam-m9b Didier Deschamps a un lien direct avec tous les Ballons d’Or français, sauf Raymond Kopa.... Grand coach;1
@jonathanluzi1942 Bravo Dembélé 😄 il l’a mérité belle saison et une personne humble;1
@astridjudicaellohouinbi699 Bravo ☺🤗😇;1
@mcogp1444 Exceptionnel 😂❤;1
@7zezito Bravo mérité !Et bravo aux Portugais e mon compatriote Nuno Mendes Cap Verdien🙂;1
@cryptopourtous75 Merci Ousmane pour la LDC;1
@WendyCharles-b3j 🔥🔥🔥🔥🔥;1
"@sabrinabloom85 Sincère comme toujours ❤💙
Un grand joueur qui pense au collectif 🎉";1
@mimoreus9101 Il le mérite tellement très modeste ce mec;1
@SalimaGuera Bravo 👏 Dembelé ❤❤;1
"@modytounkara9968 Félicitations Yamal 
Félicitations Ousmane";1
@honore_wilson Le plus long discours d'un ballon d'or dans toute l'histoire !;1
@EL-FAYZYYY777 la boule au ventre pour kiki;1
@KoffaAmetepe Bravo !!!!!;1
@JokeFactory7 Il faut toujours remercier Dieu Tout Puissant, la Maman et la famille en tout premier mon frère.. je suis trop heureux pour toi ! Dembouz ballon d'or !;1
@merakesete4877 Congratulations Ousmane Dembélé❤❤❤❤❤❤😂;1
@alexassonken9281 Dembelé le meilleur ❤❤;1
@alexassonken9281 Kylian Mbappé ❤❤;1
@antoinev9733 bon le jour où DD aura un ailier un peu plus performant en EDF et qu'il choisira quand même Ousmane, on saura pourquoi 😁;1
@TokyoPiratesOfficial Les meilleurs larmes de l’année 2025 ❤❤;1
@Gafourr-l5y Bravo from algeria;1
@k.sokmikzeomic Une trajectoire de dingue les larmes de fin c'est normal Ousmane Bravo enfin 1 qui a pu s'en sortir avec tous les siens sans jalousie;1
@mawelnation Pavel Nedved Michael Owen Ousmane Dembele rare well deserved winners💯;1
"@hervengongo9692 Oui la profondeur de son discours 😢 valorise encore plus son ballon d'or.c'est surtout ce parcours si difficile ...
et ce momentum contre toute attente....
ce PSG en baisse de reconnaissance et de confiance abandonné par ses joueurs de rêves ...et au final la champion league....";1
"@LallameriemMaliki C'est bien joué..une très belle mise en scène pour la donner à un ""français"" et écarté le vrai ballon d'or ""Acraf Hakimi""";1
"@trunk5922 Pas faux 
Je pense que c'est plus un ballon d'or d équipe, que du meilleur joueur du monde. 
C est Dembele juste, c'est pas Ronaldinho....il y a 3 mondes d ecart";1
@alvesbisalu2778 Félicitations ndembele❤;1
"@antoinev9733 ça  n'est pas une grande année BO mais on oubliera vite, 
par contre,  je suis très content pour lui .
des années compliquées, un joueur sans chichis, discret mais un très beau touché de balle.

MAIS  Ousmane !!?? il y a une année coupe du monde qui se profile !!! 😁😉";1
"@trunk5922 Franchement quand tu regardes la liste des ballons d'or,  ca fait tache qd même 
Même si il le mérite un peu qd même 
Mais c'est plus le ballon d'or du psg que celui d'un meilleur joueur du monde sans discussion possible";1
"@antoinev9733  @trunk5922  euuh le foot a toujours été un sport collectif hein ;)
iniesta dans la salle,  0 BO ?? 
par essence le BO ça ne représente pas grand chose. 
trophées, nombre de buts .... des stats offensives surtout. 
et les copains derrière ?? jamais BO ?? 
bof 🙂
une fois dit ça, Dembélé n'a pas cassé toutes les briques mais on a quand même l'impression qu""il a été indispensable.
l'état d'esprit c'est bien que ça compte de temps en temps 🙂";1
"@trunk5922 ​​ @antoinev9733 bah oui
Cest bien ce que je veux dire
C'est + un ballon dor collectif cette année 
Plutot qu une mega star incontestable comme R9,Zidane etc etc..
Si le psg ne gagne pas la finale,  pas sur que Dembele soit dans le top 3 deja...c'est même sur";1
@Xavier-q6h Je ne comprends pas la logique du ballon d'or,  un joueur peut avoir fait une saison fantastique,  meilleure que tous les autres joueurs,  mais n'avoir pas remporté de trophées,  et donc il n'est pas ballon d'or ? donc il faut aussi être dans la meilleure équipe ????;1
@k.sokmikzeomic Ballon d'or romis par Ronnie quel moment incroyable;1
@HAZEOHodabalo Encore une fois dans l'histoire un africain vient de recevoir le ballon d'Or sans le racisme comme le faisait avant❤🎉 et aussi félicitation ousmane Dembélé❤🎉🎉;1
@PabloPappalardo probably best ballon d'or speech ever;1
@JosephBANSOBA-w7n1i je peure avec dembele;1
"@ylarhman1627 Mérité  vu son comportement et de de son jeu même si yamine lamal et largement au dessus techniquement...
Un ballon d'or et un ensemble de qualité et de comportement dans le foot et en dehors ...
Félicitations a Dembelé mérité sans aucun doute ❤";1
@AladjiDiallo-e5l Ousmane Dembele le champion❤😂;1
@johnnyjean4285 Grand grand Ousmane, très belle séquence;1
@ZanreAlassane-k1i ❤Félicitation à Ousmane Dembele❤;1
"@JOHNPATRICKHERNANDEZ1978 BRAVO à OSCAR , il mérite son  CESAR **
MERKI COACH **";1
@luckyluke95 Dembélé a toujours gardé son visage d’enfant, c’est incroyable, il ne vieillit pas 😂😂😂;1
@dyego696 Raphinha 5 eme ? Pedri 11ème ? Gros rire là;1
"@mrasheedishola2703 Où est sont père dans tous ça ?
Un bon joueur qui n'a pas abandonné et crois en lui même malgré plusieurs blessures.";1
@djamelbelkheir1151 Le Boss, un talent pur, un mec simple et sympathique, toujours là pour les autres, il mérite amplement ce trophée, Bravo Ousmane ✨✨✨;1
@nayimsyed4993 Classe de la part de Kate Abdo d'inviter la maman d'Ousmane. Felicitation Ousmane Dembele 👏;1
"@stevenlebas2376 Quand il dit"" voilà"" j'ai l'impression d'entendre WALLAH 😂😂";1
@michellouis8949 C'était pas mon préféré mais les journalistes ont préféré le joueur du PSG.;1
@Neyuu7 on  t'aime dembouz;1
@BigTsun1 🔥🔥🔥🔥;1
"@ghislainegautreau1427 Quel bel être humain!
Super cool.
Ça fait hyper plaisir pour les.jeunes.";1
@Djibril-0710 ET Ousmane, ballon d’or❤;1
@DMaintain Père Céleste, je prie pour que tu gardes la personne qui lit ceci en vie, en sécurité, en bonne santé et bénie financièrement. Amen. 🙏🏾;1
@janonasra4025 Il le mérite;1
@g.muhammad8018 One of the best players;1
@MayaKaur-e5o Dembele tu es exceptionnel 😅;1
@MayaKaur-e5o Il le mérite;1
@fabnaw4480 Bravo Ousmane mérité. Raphinha qui finit derrière son coéquipier Yamal c’est une blague.;1
@Bgo-p6j Félicitation à toi OUSMANE DEMBÉLÉ tu as charbonné pour ça ❤ pareil a LAMINE;1
@baroloukmane8210 Merci de penser à Évreux ça m'a fait plaisir 👍;1
@SamuelVespa Ousmane ballon d'Or et Ousmane ballon d'Or🎉;1
@SamuelVespa Dembélé il le mérite;1
@abdoulak4064 Le concours du Ballon d’Or 2025 constitue un exemple – ou un modèle – de la désillusion morale française et occidentale, ainsi qu’une illustration de la primauté des intérêts nationaux comme fondement de la démocratie française moderne, au détriment des critères d’équité objective et des relations humaines.;1
@TresorLoundou 👏👏👏👏;1
@matthieuphan-chi8706 Qu'il prenne exemple Mbappé pour avoir le ballon d'or;1
@moussadiabate1579 🎉❤❤;1
@AbdulWahat-g9i Rafinha diserve it😢;1
"@MrPopy321 C'est un petit-fils de Salif Keita , c'est le Mali qui gagne.
Même si l'occident en plus de nos ressources nous pille de nos talents.
Bon courage ( Bamananké)";1
@Cap-sur-les-Stades Dembélé Ballon d'Or, Quel discours Monsieur. On sent le vécu. Malgré les hauts et les bas du milieu, tu as réussi à le décrocher alors que ce n'étais pas un objectif.  De la reconnaissance partout où tu es passé, vraiment touchant. C'est mérité, Bravo!!!;1
@kabadabe C'est beau vraiment;1
@patrickR-gc4oh Félicitations à ce grand joueur du PSG il le mérite avec la saison effectuée avec toutes l’équipe de Paris ❤;1
@cedricktolonganiwa5766 Bravo champion !💪🏽;1
@SALAHDK1 et ousmane ballon d'or et ousmane ballon d'or !;1
@KomiBIYE ❤🎉;1
@ekssandouno1240 Ballon d'or devant mbappe, pogba, vinicius, iniesta,Xavi,kroos;1
"@jamilaa.107 Il a dit combien de fois "" exceptionnel"" 🤣 sinon bien joué a lui il méritait";1
@djonabi1085 Un artiste africain qui célèbre la victoire de Dembelé https://youtu.be/_KtN53bxn-8?si=HVszXsmbVsiCDF8Y 🥳🥳🥳;1
@bacchus5881 Un gars en or, il mérite rien que pour ça.;1
@sandrasds8810 Très beau discours et naturel. Il m’a fait pleurer. Encore bravo 👏👏👏;1
@KhadėmLo-u4c Ousmane seul❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤;1
@Moulham-zfr 🎉🎉🎉🎉;1
@juliebindeletv2483 Félicitations Ousmane Dembélé Tu mérite Ce ballon d’or t’es un grand joueur Simple et humble l’humilité précède la gloire ❤❤;1
@DavidDavid0007-m7u Très digne bravo . Bravo pour tous ceux qui t’ont moqué belle revanche;1
@stanislas-LG Je suis très très fière de toi et que le Seigneur te bénisse plus plus. ❤❤❤❤❤❤;1
@niyocaz Sincérité !;1
@niyocaz Sincère !;1
@Kakarotlevrai GG OUSEMAN;1
@FranciscoOliveira-j3w Bravo petit ! Ne change pas;1
@fatihabaiker1428 Ousmane, il faut citer tous les noms, c'est important et bravo, c'est la récompense du travail.;1
@bloodandhonorr Go acheter le maillot de dembouz il le mérite maintenant le prochain pour Mbappé j'espère;1
@AblamAgbana-s1k La vie simple telle que Dieu a voulu qu'elle soit;1
@SylvainHk-g6d Vraiment tu la mérité;1
@guymathieunamo7030 'est tout mérité;1
@MamadouDiallo-e8c Súper Mon Frere;1
@IsaacMaloso-i9r1m 🎉🎉🎉🎉;1
"@courtemanchhe Merci Ousmane Dembelé, mes félicitations à toi, tes proches peuvent être très fier.
C est mérite et le meilleur est à venir.
L ambidextre 😊";1
"@maktoub2 Bravo à la femme marocaine:
Démbélé est marié à une marocaine et Yamal sa grand-mère est marocaine 😊";1
@sebalino Tellement émouvant;1
@ElhoussineChaih Le ballon d or doit etre gagne seulement par une legende de foot comme La perle noire Larbi Ben Barek ou le Roi Pele ou Maradona ou Ronaldo le Bresilien ou Ronaldo le portigais ou Messi  ou Ronaldigno juste a titre d exrmple si no ce grand ballon dore perdra sa valeur doree.;1
@Lionelbanzeofficiel Félicitations deuxième l'homme de l'histoire tubas bien sorti tu as bien parlé avec fidèle;1
@igoregbedji K. MBAPPE prochain ballon d'or, c'est une prophétie;1
